Failed_Attempts_Last30Days,Access_Time_Deviation,Entry_Distance_From_Usual,User_Access_Tier,Access_Risk_Score
1.0,15.8,46.81,Elevated,65.28
2.0,2.65,16.29,Standard,33.85
3.0,20.71,8.54,Standard,46.8
3.0,7.33,57.15,Standard,63.46
0.0,24.71,42.07,Standard,41.53
2.0,18.83,5.27,Elevated,50.44
3.0,1.74,21.98,Standard,47.86
2.0,9.46,43.18,Elevated,58.12
,8.23,18.01,Elevated,29.77
,26.78,65.99,Elevated,92.65
3.0,12.36,33.58,Standard,
2.0,7.79,47.46,Standard,55.91
,15.57,37.43,Elevated,49.9
2.0,18.93,42.48,Elevated,67.83
2.0,3.8,,Elevated,51.89
2.0,15.43,47.57,Elevated,63.07
3.0,26.05,41.64,Standard,74.45
3.0,,57.15,Standard,71.91
2.0,18.98,19.91,Standard,50.45
0.0,22.81,45.18,Admin,70.69
2.0,18.77,42.37,Elevated,64.83
2.0,12.72,30.61,Standard,55.35
2.0,15.72,32.04,Elevated,57.07
2.0,21.98,27.77,Standard,63.09
3.0,3.56,51.99,Elevated,78.21
1.0,21.53,40.35,Standard,48.2
2.0,26.51,34.43,Standard,
3.0,20.46,40.45,Admin,101.06
1.0,19.15,47.66,Standard,47.74
2.0,2.63,35.86,Standard,41.27
1.0,18.7,65.35,Standard,47.78
3.0,23.62,57.43,,79.36
,3.5,26.91,Standard,44.69
2.0,2.29,14.47,Standard,
0.0,14.9,23.99,Standard,21.3
0.0,23.69,37.91,Elevated,51.55
1.0,13.99,46.21,Elevated,57.16
4.0,13.16,2.69,Elevated,62.15
1.0,11.07,24.51,Elevated,56.38
3.0,21.0,49.01,Standard,87.05
2.0,,32.52,Standard,48.86
,0.35,30.65,Standard,25.22
0.0,,20.35,Standard,24.01
2.0,21.77,27.02,Standard,61.52
0.0,9.93,76.42,Standard,47.91
3.0,16.67,73.77,Standard,78.17
1.0,26.82,52.63,Standard,55.39
4.0,4.69,33.31,Standard,62.27
0.0,13.69,56.67,Elevated,53.16
1.0,12.22,2.19,Standard,23.94
1.0,9.27,20.94,Standard,24.66
1.0,1.47,4.33,Elevated,27.58
,23.31,10.08,Standard,45.1
2.0,18.59,45.87,Elevated,68.56
4.0,18.19,41.26,Standard,
1.0,11.72,14.65,Standard,28.08
2.0,19.12,35.15,Standard,
1.0,20.56,17.37,Standard,34.2
2.0,24.21,39.39,Elevated,76.32
0.0,13.69,56.67,Elevated,53.16
2.0,14.84,39.22,Elevated,67.83
0.0,11.58,43.81,Standard,33.24
3.0,10.33,29.96,,68.1
4.0,13.27,41.54,Standard,68.08
0.0,10.14,35.57,Standard,21.0
2.0,6.59,32.82,Elevated,52.42
2.0,,74.25,Standard,63.55
3.0,30.19,41.74,Elevated,77.96
2.0,1.89,,Standard,42.31
3.0,6.97,40.12,Standard,
1.0,12.23,60.87,Elevated,59.61
0.0,5.24,46.92,Standard,36.07
2.0,17.85,51.57,Standard,53.57
5.0,17.17,16.64,Standard,66.58
2.0,2.6,3.97,Standard,21.11
1.0,25.23,8.05,Standard,36.08
4.0,23.14,46.98,Standard,77.02
2.0,26.67,48.22,Elevated,76.89
2.0,10.58,1.78,Standard,34.52
2.0,25.41,29.29,Standard,54.01
1.0,8.26,14.31,Standard,25.91
3.0,23.09,29.28,Standard,61.29
4.0,,4.0,Standard,47.6
1.0,14.28,1.06,Elevated,38.52
3.0,24.31,3.14,Elevated,65.81
1.0,1.64,4.51,Standard,6.98
0.0,12.45,,Elevated,40.59
0.0,19.79,21.88,Admin,58.3
1.0,6.59,31.89,Elevated,43.15
2.0,9.45,25.55,Admin,68.67
4.0,31.22,32.6,Standard,92.83
2.0,10.88,32.43,Standard,42.59
5.0,19.72,39.06,Standard,87.26
3.0,14.12,33.86,Standard,55.41
0.0,27.3,13.41,Elevated,55.47
1.0,38.38,27.69,Standard,61.64
2.0,13.96,50.45,Elevated,62.24
1.0,16.87,21.96,Standard,36.18
,3.32,16.05,Standard,17.0
1.0,6.18,20.18,Elevated,33.67
1.0,1.31,31.37,Admin,47.07
2.0,18.32,39.14,Standard,55.6
3.0,11.72,38.7,Standard,60.08
2.0,24.37,4.18,,45.82
0.0,20.89,43.61,Standard,39.01
1.0,25.18,23.2,Standard,49.33
,20.97,17.48,Standard,61.01
3.0,23.67,8.26,Standard,
,14.13,45.56,Elevated,43.96
2.0,10.89,37.71,Standard,51.54
1.0,14.71,13.65,Standard,30.42
3.0,1.21,61.58,Standard,66.08
1.0,18.8,18.34,,42.64
2.0,14.05,20.01,Elevated,44.84
4.0,24.67,39.72,Elevated,90.12
1.0,5.86,34.2,Elevated,55.7
1.0,25.47,27.51,Admin,65.84
4.0,29.55,9.58,,98.15
2.0,2.22,9.31,Standard,27.9
2.0,19.07,15.5,Standard,46.69
3.0,10.51,45.23,Elevated,67.19
2.0,18.24,17.01,Standard,44.44
6.0,1.26,27.08,Admin,100.06
2.0,30.7,52.26,Elevated,84.25
2.0,,26.83,Elevated,68.39
1.0,5.9,36.32,Standard,34.42
1.0,27.43,50.45,Elevated,71.74
4.0,9.02,1.17,Standard,47.28
0.0,7.4,41.35,Standard,29.85
2.0,13.38,1.13,Standard,29.13
3.0,6.97,40.12,Standard,
1.0,25.94,12.31,,47.03
2.0,13.13,5.54,Standard,37.37
2.0,27.9,44.12,Elevated,76.04
0.0,16.45,4.63,Standard,10.77
2.0,6.02,19.51,Standard,23.77
0.0,11.69,16.87,Elevated,31.64
4.0,15.23,24.43,Standard,66.74
,26.94,19.51,Standard,40.44
0.0,34.32,50.72,Standard,56.53
3.0,16.98,35.97,Standard,64.83
3.0,19.17,25.33,Elevated,73.69
1.0,19.79,7.28,Standard,34.32
0.0,16.02,4.87,Standard,19.95
5.0,1.26,26.06,,
0.0,15.09,43.34,Standard,36.33
1.0,16.54,37.03,Admin,58.8
1.0,9.85,40.86,Standard,43.76
0.0,17.15,18.28,,17.23
2.0,13.39,12.78,Standard,39.86
3.0,8.74,61.36,Standard,65.76
2.0,3.29,6.54,Standard,22.0
2.0,13.35,37.86,Elevated,63.98
1.0,6.09,24.86,,34.41
1.0,6.51,42.07,Elevated,47.49
1.0,0.24,1.28,Standard,6.05
3.0,28.99,21.92,Standard,68.47
1.0,17.33,46.55,Standard,51.02
0.0,17.65,17.19,Standard,22.01
0.0,10.61,8.13,Standard,12.84
0.0,9.1,51.86,Elevated,45.96
3.0,9.26,43.53,Admin,
2.0,19.39,4.83,Elevated,53.04
3.0,1.07,42.34,Admin,71.33
2.0,37.16,55.81,Elevated,84.89
1.0,21.14,38.63,Standard,49.22
2.0,19.33,49.63,Standard,49.83
,25.34,45.81,Standard,65.29
2.0,14.88,66.18,Standard,64.4
4.0,22.5,16.63,Elevated,74.19
1.0,23.97,14.51,Admin,57.11
3.0,12.48,,Standard,60.12
4.0,27.18,28.49,Admin,105.7
2.0,23.4,15.21,Admin,70.89
4.0,3.9,26.28,Admin,89.11
2.0,33.38,19.49,Standard,54.27
0.0,17.03,64.22,,35.98
2.0,0.39,17.99,Elevated,36.94
3.0,15.32,18.1,Standard,50.93
0.0,28.37,36.13,Standard,43.02
0.0,19.16,9.28,Standard,24.14
1.0,16.87,51.82,Standard,53.12
2.0,0.53,13.53,Standard,22.53
2.0,9.45,5.76,Standard,24.81
3.0,2.26,49.14,Standard,56.56
1.0,15.09,51.28,Admin,71.22
2.0,22.63,2.18,Standard,33.53
2.0,18.77,16.4,Standard,43.04
,3.5,26.91,Standard,44.69
1.0,22.69,7.23,Elevated,48.3
8.0,11.18,78.74,Standard,126.21
1.0,27.09,37.19,Standard,50.06
4.0,26.58,60.91,Standard,
2.0,25.55,26.62,Standard,62.56
1.0,12.1,5.65,Standard,24.8
0.0,10.44,22.38,Standard,17.21
2.0,21.22,,Admin,68.67
1.0,6.73,21.91,Standard,21.22
1.0,15.27,37.16,Standard,36.43
5.0,,6.78,Standard,56.93
1.0,13.66,1.34,Admin,44.32
2.0,6.84,15.09,Elevated,45.14
3.0,11.19,5.09,Standard,47.19
,27.87,27.33,Admin,81.65
2.0,9.66,6.16,,43.69
4.0,17.23,65.45,Standard,84.19
,16.36,42.24,Elevated,68.4
1.0,9.13,39.07,Standard,34.2
3.0,10.08,12.62,Admin,61.63
1.0,27.22,21.06,Admin,53.83
4.0,22.7,12.31,Admin,90.85
3.0,41.38,40.78,Elevated,99.03
1.0,4.0,43.45,Standard,43.76
2.0,6.82,45.9,Standard,42.69
3.0,24.47,9.69,Standard,62.48
1.0,,24.62,,25.33
1.0,5.4,33.51,Admin,55.02
2.0,10.07,17.64,Standard,36.3
1.0,29.1,48.24,Admin,83.57
1.0,39.85,1.79,Standard,37.71
1.0,,64.69,Standard,62.2
1.0,9.29,17.32,Standard,28.86
2.0,14.16,,Standard,44.91
4.0,7.58,22.9,Elevated,71.85
3.0,19.8,14.55,Standard,43.25
2.0,18.92,5.49,Elevated,54.06
2.0,19.15,14.27,Standard,39.57
,11.21,37.96,Elevated,69.11
2.0,3.9,15.1,,39.72
2.0,9.09,9.46,Standard,36.12
1.0,4.16,50.88,Admin,70.94
1.0,16.42,42.21,Elevated,69.81
,11.25,31.87,Admin,107.9
3.0,17.71,45.1,Standard,72.78
3.0,12.08,5.33,Standard,38.89
2.0,7.71,22.34,Elevated,51.05
5.0,7.79,9.33,Standard,57.48
1.0,12.09,52.82,Elevated,56.79
3.0,29.46,41.97,Standard,80.83
6.0,31.32,22.42,Elevated,113.25
0.0,10.57,28.57,Standard,18.2
0.0,6.91,21.28,Standard,14.17
,6.41,5.83,Standard,29.3
2.0,16.25,17.69,Standard,34.12
2.0,10.01,,Elevated,
1.0,12.26,23.8,Standard,33.82
2.0,,24.99,Standard,50.2
2.0,11.2,24.8,Admin,64.05
0.0,1.4,4.81,Standard,
0.0,14.33,24.77,Standard,29.54
0.0,23.46,21.5,,40.48
3.0,16.22,11.75,Standard,40.22
3.0,0.98,43.09,Elevated,64.96
4.0,25.97,35.2,Standard,69.92
3.0,9.15,23.41,Elevated,67.42
4.0,,33.07,Standard,73.37
3.0,25.67,67.07,Standard,76.66
2.0,9.79,43.3,Elevated,62.71
4.0,15.15,12.19,,56.72
2.0,,69.82,Elevated,77.06
6.0,17.71,29.67,Elevated,107.77
2.0,24.73,48.1,Standard,62.04
4.0,33.59,28.81,Elevated,94.09
4.0,20.89,48.59,Admin,108.73
2.0,,37.83,Admin,75.31
3.0,30.89,49.29,Admin,111.38
2.0,11.36,69.51,Standard,54.65
1.0,6.4,6.65,Elevated,36.72
1.0,12.66,26.65,Standard,34.33
2.0,18.2,39.61,Standard,52.85
1.0,32.18,7.38,Admin,60.45
1.0,5.34,35.33,Standard,30.58
3.0,7.5,91.8,Standard,77.04
4.0,18.55,17.45,Standard,65.75
,23.93,39.02,Elevated,49.13
3.0,12.12,33.39,Standard,
2.0,20.2,42.06,Admin,66.58
0.0,1.11,47.22,Standard,19.34
1.0,17.62,1.16,Standard,28.57
5.0,11.85,36.06,Elevated,
3.0,0.73,15.39,Elevated,58.44
1.0,3.47,39.82,Elevated,48.72
1.0,24.37,58.08,Admin,72.08
1.0,9.13,39.07,Standard,34.2
1.0,28.15,,Elevated,68.95
2.0,3.92,20.97,Standard,36.78
0.0,4.16,47.14,Standard,25.2
3.0,22.26,8.56,Standard,53.04
2.0,11.33,53.97,Standard,46.0
2.0,12.87,20.26,Elevated,54.55
3.0,24.82,56.18,Standard,86.12
3.0,17.21,52.52,Standard,75.16
2.0,1.82,6.32,Standard,25.1
1.0,15.74,70.05,Standard,48.44
2.0,5.72,40.79,Standard,38.5
2.0,8.9,32.87,Admin,70.94
4.0,19.89,26.95,Elevated,77.68
0.0,24.97,39.2,Standard,42.2
4.0,28.2,22.06,Standard,65.58
3.0,15.87,21.71,Elevated,64.42
0.0,28.15,66.33,Standard,56.12
0.0,10.91,36.7,,27.06
,18.0,8.4,Admin,75.94
0.0,3.69,12.79,,17.18
0.0,11.71,3.72,Elevated,19.19
2.0,0.08,76.78,Standard,61.4
2.0,7.34,31.5,Standard,38.67
1.0,1.15,61.08,Elevated,57.26
4.0,3.77,7.48,Standard,53.15
3.0,15.01,5.1,Elevated,56.38
1.0,8.9,5.16,Standard,
1.0,10.86,3.26,Standard,28.34
2.0,25.92,,Admin,78.78
6.0,13.89,27.31,,98.55
1.0,15.9,24.14,Admin,55.24
0.0,28.99,50.0,Elevated,57.45
2.0,16.82,48.18,Standard,53.14
3.0,7.89,40.13,Standard,62.44
1.0,0.13,42.15,Admin,48.99
3.0,11.45,71.48,Elevated,95.65
1.0,12.75,1.59,Standard,18.93
0.0,,7.98,Standard,25.52
3.0,2.05,53.59,Standard,56.43
2.0,5.7,35.71,Standard,44.97
3.0,25.33,74.77,Standard,
2.0,11.81,16.44,Elevated,52.87
1.0,21.72,0.7,Standard,36.28
3.0,17.98,33.5,,70.48
1.0,23.89,26.83,Standard,40.94
1.0,4.43,49.43,Admin,63.58
5.0,9.99,39.67,Elevated,93.74
2.0,33.63,22.21,Standard,58.19
2.0,1.35,48.16,Elevated,58.15
2.0,30.08,34.84,Standard,65.07
4.0,11.04,37.24,Standard,59.34
1.0,30.29,23.47,Elevated,60.65
5.0,11.73,34.76,Admin,104.09
2.0,5.74,45.97,Elevated,54.68
1.0,2.51,10.31,Standard,13.57
2.0,13.96,50.45,Elevated,62.24
5.0,5.49,27.87,Elevated,
3.0,9.24,51.44,Standard,64.9
1.0,8.19,5.0,Elevated,28.96
0.0,5.48,54.46,Admin,
1.0,20.88,2.59,Admin,55.19
2.0,17.3,8.04,Standard,31.49
0.0,11.61,18.18,Elevated,24.23
3.0,15.05,,Elevated,54.53
0.0,31.21,0.47,Standard,24.14
2.0,20.96,2.1,Elevated,49.08
1.0,15.47,3.08,Standard,29.25
2.0,17.54,35.21,Elevated,63.06
2.0,16.93,45.83,Elevated,66.8
1.0,25.57,28.88,Elevated,43.89
2.0,5.83,11.42,Standard,34.24
3.0,31.97,29.0,Elevated,85.14
0.0,30.45,38.16,Elevated,54.81
1.0,9.64,49.99,Elevated,59.02
3.0,14.98,45.8,Elevated,74.79
2.0,16.32,17.68,Standard,50.04
4.0,14.98,40.17,Standard,71.93
2.0,25.48,0.45,Elevated,46.71
1.0,24.33,35.54,Elevated,63.01
4.0,8.65,19.33,Standard,53.87
1.0,8.74,56.44,Standard,51.58
3.0,22.87,39.68,Standard,74.88
1.0,15.91,32.39,Elevated,48.3
2.0,15.5,8.33,Standard,32.64
0.0,21.03,22.72,Standard,38.16
2.0,10.34,27.69,Standard,39.9
4.0,15.97,12.19,Elevated,77.17
1.0,13.2,22.36,Elevated,46.5
,33.07,13.25,Standard,85.11
0.0,7.01,36.74,Standard,24.96
3.0,28.61,70.7,Standard,87.32
1.0,0.79,21.98,Standard,23.92
1.0,12.5,61.98,Standard,54.9
2.0,13.56,21.57,Standard,48.01
1.0,6.93,41.64,Standard,33.9
,11.63,16.05,Elevated,36.2
,9.66,14.61,Standard,39.33
3.0,11.89,21.02,Standard,51.56
2.0,2.17,23.6,,25.83
4.0,21.7,49.87,Standard,80.12
2.0,30.24,15.95,Standard,42.96
2.0,13.0,,Elevated,61.83
0.0,4.11,23.49,Standard,17.34
0.0,13.87,,Standard,16.18
1.0,12.13,27.78,Elevated,40.02
1.0,15.17,5.29,Elevated,44.01
3.0,23.28,25.79,Standard,65.04
0.0,28.59,8.15,Standard,21.6
3.0,12.3,14.91,Admin,75.87
1.0,14.55,29.5,,35.77
2.0,39.42,3.52,Standard,61.46
3.0,17.88,36.2,Elevated,70.41
4.0,29.71,7.55,Standard,64.59
1.0,25.84,11.08,Elevated,48.59
,3.35,9.71,Elevated,18.58
1.0,3.27,21.43,Standard,13.62
0.0,5.79,22.74,Standard,24.23
3.0,1.55,29.22,Standard,40.85
3.0,2.35,21.95,Admin,66.22
4.0,19.6,15.9,Standard,63.29
0.0,30.09,30.84,Standard,36.64
2.0,19.71,36.67,Standard,57.71
0.0,11.05,55.43,Standard,42.08
0.0,13.0,61.16,Standard,46.8
3.0,36.45,21.21,Standard,71.04
3.0,29.18,21.71,Standard,62.9
0.0,18.47,12.78,Standard,19.87
1.0,21.67,19.42,Elevated,39.99
1.0,18.65,23.14,Elevated,49.14
5.0,8.46,39.13,Elevated,79.27
3.0,16.43,36.73,Standard,58.52
5.0,12.51,31.72,Standard,69.38
3.0,12.36,12.04,Standard,43.88
3.0,12.15,11.84,Standard,48.25
3.0,,,Standard,57.14
5.0,11.02,0.49,Elevated,67.3
1.0,18.33,69.98,Elevated,65.02
3.0,15.65,4.51,Standard,44.52
4.0,31.84,69.88,Admin,118.08
2.0,10.39,27.83,Elevated,58.47
2.0,40.94,22.65,Standard,65.01
0.0,20.82,7.89,Admin,45.24
1.0,11.9,0.88,Elevated,
1.0,11.57,4.34,Standard,20.75
1.0,25.3,16.5,Standard,39.42
2.0,0.51,44.34,Elevated,61.85
0.0,28.21,3.78,Elevated,35.92
2.0,15.78,33.19,Standard,47.31
,,32.31,Elevated,35.82
5.0,22.92,39.84,Elevated,104.93
3.0,7.79,24.33,Admin,76.34
2.0,4.06,2.31,Elevated,40.46
4.0,14.62,13.16,Elevated,67.09
1.0,25.93,24.61,Standard,43.28
0.0,5.38,12.49,Standard,7.36
,18.96,11.98,Elevated,60.79
3.0,13.37,37.96,Elevated,80.01
1.0,18.14,,Standard,53.71
4.0,20.59,,Elevated,78.91
3.0,2.79,16.56,Admin,62.92
1.0,13.28,47.91,Standard,53.37
3.0,12.79,70.27,,85.0
3.0,7.57,42.8,Elevated,70.66
2.0,30.29,69.49,Elevated,87.82
1.0,18.66,9.67,Standard,35.6
1.0,13.47,22.18,Elevated,39.73
2.0,10.79,41.45,Elevated,55.58
0.0,23.01,11.28,Standard,20.54
3.0,3.45,62.36,Elevated,73.19
3.0,7.58,41.25,Standard,51.17
2.0,8.2,31.03,Standard,38.56
4.0,22.85,43.73,Elevated,
2.0,3.62,51.44,Admin,76.75
3.0,21.57,1.88,Standard,45.53
1.0,11.02,6.52,Elevated,23.29
1.0,23.01,23.89,Standard,37.26
,23.59,85.72,Elevated,100.33
3.0,16.49,14.85,Standard,41.52
6.0,25.9,2.71,Elevated,96.81
0.0,11.77,0.35,Standard,10.25
1.0,15.28,23.81,Standard,29.89
2.0,5.72,40.79,Standard,38.5
1.0,16.85,19.59,Elevated,43.79
4.0,4.25,20.22,Elevated,69.9
1.0,22.47,24.16,Standard,34.77
1.0,25.57,28.88,Elevated,43.89
3.0,14.01,57.71,Elevated,84.54
1.0,2.42,44.22,Standard,37.53
2.0,34.32,23.09,Standard,51.13
2.0,14.88,55.61,Elevated,72.5
3.0,26.46,3.63,Standard,57.95
2.0,7.11,60.55,Standard,51.73
0.0,8.61,,,40.97
1.0,15.5,,Elevated,52.47
2.0,18.81,17.43,Standard,49.17
0.0,5.2,39.72,Standard,27.96
1.0,0.63,34.53,Standard,28.38
