Total_Spend,Number_of_Orders,Average_Order_Value
4880.47,85,614.23
2605.69,27,718.99
1648.63,57,279.9
3986.17,31,419.41
1390.62,6,130.67
2222.91,91,189.34
438.36,40,684.31
175.49,98,189.62
4815.11,12,529.91
4188.1,53,711.96
3495.07,71,115.81
2074.32,10,571.64
907.81,45,264
824.36,17,963.3
1288.7,26,488.71
2768.67,85,807.93
3587.25,92,554.72
3317.98,62,52.98
1435.67,46,636.82
4776.58,64,951.89
3702.59,2,605.6
2794.05,54,821
3078.02,65,885.36
2127.02,51,235.8
1276.27,53,219.92
1812.06,36,614.87
3801.34,26,416.92
121.25,29,841.46
624.56,21,901.02
277.71,11,359.89
251.61,40,244.5
4284.53,11,782.72
3533.11,36,282.06
2397.16,59,824.39
534.28,39,429.5
2483.5,99,670.87
2393.69,54,104.58
907.35,98,627.62
2197.57,55,457.25
2022.6,24,590.74
3098.46,22,176.33
3193.71,69,739.51
274.25,56,864.17
1904.33,33,224.57
3148.01,36,104.76
2540.52,20,33.4
4289.62,83,645.55
3310.53,99,611.02
856.53,81,551.23
399.32,62,239.63
3229.98,98,397
181.23,73,598.53
2949.59,26,501.8
4704.14,66,987.91
2898.6,73,145.08
1971.44,73,698.19
3234.28,40,410.28
2318.35,17,433.92
2750.8,1,720.42
4710.25,89,695.51
1961.21,61,991.34
4807.89,43,137.11
4531.49,42,113.07
1019.17,25,727.1
393.34,39,582.6
548.85,35,281.42
140.2,3,88.63
517.49,44,94.8
3430.88,51,895.25
402.38,94,199.95
1628.93,98,330.14
4232.13,12,234.39
165.2,19,361.45
4081.62,44,78.73
1445.18,59,523.87
634.92,49,76.94
3498.85,61,802.35
3163.27,17,241.37
4393.49,74,544.61
3688.6,57,881.28
4027.23,55,654.37
1446.07,47,537.63
928.33,12,331.09
3765.54,62,339.67
4043.83,80,672.79
4953,88,994.2
2092.46,83,665.22
1891.49,8,562.21
3893.24,95,733.34
1736.98,21,470.55
4657.25,81,69.54
4299.14,87,566.67
2173.52,80,958.05
3766.81,70,183.55
3784.99,72,693.1
560.46,25,208.92
4517.64,82,540.47
2551,89,105.71
4140.96,12,455.87
1634.25,15,758.6
4482.84,59,354.1
1976.55,26,668.26
103.65,26,797.5
4531.64,47,927.91
501.87,32,242.3
1630.6,10,405.32
4752.81,16,160.89
4755.51,71,992.56
2888.52,17,927.73
3177.59,23,544.56
2269.81,26,843.61
1501.39,85,525.75
1676.89,86,627.35
3378.97,7,98.23
3774.25,14,757.72
3968.32,79,136.44
3958.61,7,827.81
501.47,9,784.21
2497.38,48,711.66
334.92,72,45.8
2770.17,59,310.1
2235.58,87,270.48
4444.14,93,366.54
1787.03,82,96.77
629.48,95,937.59
757.81,94,558.26
3819.48,39,312.47
3110.18,99,403.01
550.56,18,452.73
466.33,59,604.59
3519.8,17,520.52
410.18,14,920.2
4118.21,31,501.99
3545.9,24,992.24
452.68,99,852.91
469.95,60,216.43
4933.87,45,931.29
1902.64,98,125.2
1884.68,3,819.28
4073.36,37,386.82
4738.88,43,879.19
4930.71,40,869.38
3779.22,90,807.87
1912.48,55,792.13
463.33,87,311.63
3896.88,39,90.11
2814.1,15,408.95
2149.9,4,181.79
4536.45,93,698
600.43,86,352.64
2488.49,25,975.85
106.2,13,644.56
2369.87,82,824.26
328.7,33,141.2
638.15,16,863.39
631.75,42,923.53
3263.59,66,492.19
3742.92,55,610.19
2937.68,99,767.16
4812.75,42,183.09
1905.61,34,507.54
1464.27,30,404.68
4349.57,13,154.91
1156.8,13,373.86
4817.95,18,77.49
110.16,32,35.55
4850.9,96,143.81
263.64,99,963.48
4461.16,39,554.03
2662.12,46,966.16
4965.18,29,438.17
415.29,62,318.7
2791.58,93,511.08
4848.05,62,445.12
2639.33,57,114.61
3165.52,16,644.42
3493.96,56,223.88
2299.98,10,623.39
3156.41,30,653.7
2942.36,25,160.5
4510.73,84,70.74
274.96,5,782.95
1440.77,65,465.2
4754.54,94,67.58
4456.81,49,994.92
2305.5,3,67.2
3119.66,45,698.08
1423.04,14,983.84
981.2,30,246.79
2345.31,68,150.83
1799.09,18,130.17
2939.1,62,310.24
434.79,37,110.04
4873.25,25,695.24
4931.74,48,71.67
3505.9,65,514.33
2703.68,53,996.73
1582.16,79,815.83
4078.29,73,619.07
3439.42,15,313.19
854.95,49,627.66
4559.09,88,531.77
4121.56,68,431.82
4751.51,12,139.4
3642.31,59,887.74
3086.41,37,455.29
2120.3,61,202.68
4667.01,43,374.08
4337.02,70,419.99
273.83,39,829.26
180.52,56,736.28
1913.49,63,771.61
4062.24,46,20.92
4937.02,88,421.99
794.56,11,486.53
2990.95,62,29
1935.41,77,267.22
4851.08,98,762.69
4218.49,25,145.74
4199.73,71,539.96
2370.03,52,223.05
2103.36,4,22
1403.37,59,248.79
329.06,72,976.12
4330.38,20,803.52
4073.86,93,959.98
4998.6,63,492.98
4983.35,54,118.64
2799.39,74,552.48
3856.49,98,459.83
4726.59,57,845.91
4255.75,90,107.1
1274.37,41,493.36
2280.19,3,158.55
689.34,6,331.43
4772.55,5,739.98
3050.56,5,481.26
1181.78,54,382.13
3374.92,47,400.53
3109.73,87,464.85
1822.91,49,787.17
612.11,9,893.16
3374.29,99,955.78
2625.52,20,789.03
3872.98,61,322.25
2624.81,35,691.25
4268.3,50,443.23
2781.94,82,262.12
2826.64,62,842.46
4389.44,17,48.04
2047.24,88,902.74
713.38,3,466.86
192.47,32,640.83
3787.93,99,662.76
3120.53,13,896.17
3535.19,89,640.3
1104.17,73,617.79
725.04,68,75.99
122,14,523.22
1785.41,98,158.67
2970.09,11,740.06
1991.61,56,517.1
2215.5,67,683.43
4525.59,92,51.26
1773.86,29,93.94
2594.25,9,719.16
3929.08,67,81.36
2012.89,25,80.54
3129.33,98,21.99
4318.7,76,956.94
4750.13,42,740.13
778.01,9,359.72
4636.61,79,303.57
2485.98,40,356.21
1328.31,25,776.91
2322.72,5,664.76
4901.16,11,193.34
2488.46,59,182.37
1677.32,98,107.41
3185.33,88,663.7
1238.72,79,766.73
425.52,38,272.4
687.95,72,30.74
683.83,5,91.35
801.92,48,968.18
737.19,90,302.49
3222.33,18,771.53
950.31,70,628.42
1761.05,37,388.12
4489.1,60,213.63
2396.11,48,130.17
3354.41,77,618.86
902.98,28,776.89
1001.83,69,647.47
252.3,77,535
886.23,81,51.53
1429.02,40,968.8
926.2,45,800.73
489.08,96,299.89
647.15,62,980.17
2330.85,93,605.86
1071.35,58,586.6
1853.14,67,750.59
2541.92,56,813.65
3467.45,40,659.91
244.6,98,136.81
4007.08,40,344.88
3158.11,91,928.8
454.71,77,232.37
4374.21,33,378.45
4608.32,6,437.76
352.34,88,445.01
1420.54,19,616.81
4040.7,80,943.65
3753.89,40,248.29
963.38,92,130.29
1086.28,97,205.5
1883.84,59,888.06
2448.39,59,649.35
3110.36,48,293.05
1876.12,41,817.79
2339.55,13,862.76
3749.98,45,848.05
231.58,89,919.74
1299.56,53,259.72
3581.08,42,757.49
4481.27,63,465.93
2582.8,27,843.58
2683.96,38,731.21
580.5,60,778.68
2264.69,7,659.6
2686.46,5,185.65
1250.23,45,549.58
1382.75,58,984.82
1917.56,31,938.01
149.35,23,52.74
1644.29,42,173.17
1096.67,10,140.41
1671.11,32,728.72
642.82,53,819.61
4458.11,30,221.38
2988.28,39,510.79
3411.56,31,842.3
3956.4,82,735.47
2517.29,2,546.81
480.26,78,594.44
2708.68,77,513.28
2954.86,93,304.57
3739.93,12,569.37
2186.71,39,692
681.52,66,874.59
1454.69,96,639.93
1847.26,13,763.51
3247.29,46,168.47
2875.35,27,466.94
1812.68,17,19.24
4933.25,95,254.21
3048.59,98,729.2
1224.27,60,991.89
553.82,64,108.19
806.65,88,407.48
1267.49,35,802.07
845.37,70,212
973.51,83,559.53
1461.22,30,735.74
908.2,71,619.83
4488.99,74,196.14
447.16,96,361.83
2646.33,98,785.95
2081.46,63,558.68
4912.77,28,15.18
604.59,60,763.38
2019.39,79,44.96
4848.88,94,748.28
4334.26,37,210.46
4094.51,93,958.49
1326.62,22,374.26
895.89,68,333.66
3359.78,20,157.4
4650.41,96,312.55
2805.98,68,877.88
2879.48,91,996.37
1435.9,64,374.63
3858.99,17,454.12
975.87,12,724.85
1652.21,22,887.33
2155.91,17,597.11
2562.67,10,397.61
1249.93,65,418.5
618.44,22,698.66
3072.57,90,13.19
1478.72,82,623.39
2927.13,50,361.94
814.1,14,796.26
2431.64,64,102.06
2686.32,47,592.32
306.53,29,486.16
1716.19,76,645.9
715.35,36,74.21
363.71,99,584.18
4950.3,52,565.87
1645.65,76,565.05
4058.88,7,607.45
1310.47,29,679.7
3423.44,11,806.94
3813.13,33,277.12
2998.41,6,826.8
2384.3,79,503.27
2088.61,32,86.29
1776.9,51,67.97
4651.17,75,340.9
4161.57,58,787.05
4826.88,87,710.6
665.27,26,790.73
3667.79,98,522.1
4694.79,46,445.8
947.1,98,155.98
379.16,29,334.91
3718.55,4,439.68
2893.64,81,97.71
4217.05,99,228.41
741.87,13,602.24
3986.57,39,738.31
1048.06,15,998.36
860.1,29,933.78
863.12,29,646.14
4082.14,75,427.04
3342.73,32,639.82
2639.17,2,787.8
1826.21,47,127.15
4392.14,78,415.81
1992.6,84,841.4
4092.17,22,389.99
2223.72,75,576.15
1915.87,27,591.89
2340.26,67,192.63
1541.82,81,368.61
3750.67,56,341.17
2538.47,92,35.93
1199.45,93,33.95
4502.89,21,833.38
1950.26,47,280.34
2740.59,80,522.9
4537.04,59,305.74
3139.98,84,941.27
