Average Response Time (s),Number of Features,Number of Bugs Reported,Training Hours Provided,User Satisfaction Score
2.32251792,28,1,1.123024115,113.1897475
2.428175867,16,5,2.262197581,66.11799812
0.685111629,39,1,0.704285102,147.7389914
1.396164321,37,12,0.881934933,75.35172313
0.789672649,37,10,2.491838864,96.96263192
2.657758565,47,10,2.094627248,83.46980167
2.058245317,41,15,4.574229505,71.82378635
1.327245062,16,10,1.811969496,61.61849533
0.658895876,7,18,2.902941751,21.32744726
1.277455804,5,14,3.16132144,26.69355902
1.312958305,37,15,0.065472283,61.01911603
2.324015446,44,10,3.31768686,95.18159237
2.093893678,14,15,0.890179834,9.815169029
2.718031856,47,7,4.805351587,109.2687874
1.680537313,48,3,0.743313639,134.471662
0.798985615,33,7,2.073120619,112.501099
2.283111968,17,3,0.42674834,70.78232344
2.401962622,16,2,4.984371259,100.3993432
1.903192994,35,2,2.510975052,122.5531824
2.42741795,6,17,2.976925087,-2.147591255
1.734488991,39,18,0.335382387,41.48191351
1.806832073,27,18,3.749802352,37.33703773
1.568852546,21,4,1.049527965,91.35556596
0.563547817,30,17,4.490271447,71.06250681
0.769728567,12,9,1.025698202,57.32369485
0.578572964,33,5,0.953438603,119.5594505
2.091026028,30,0,0.182748339,116.2254163
1.285889953,14,4,2.360334726,87.86079291
1.771426728,30,8,2.824205666,84.87788696
2.768916185,38,11,0.328543197,59.63710042
1.123230573,45,13,3.877638083,98.157652
1.525957308,11,1,2.266444174,86.3601784
2.388877846,8,16,2.621951347,8.85776115
1.071995414,49,13,2.203813735,96.63085066
0.692449775,15,12,2.003815304,58.76371278
1.224378632,33,8,2.798201657,101.3644368
0.903053218,40,14,0.77620123,76.15377848
2.824244131,29,14,0.909640652,33.21006796
2.520300949,25,10,4.308928105,52.44606888
2.083509391,40,15,4.730577311,71.5997091
2.678651475,14,16,1.866546581,11.82021261
2.509180192,41,3,1.353723366,104.4184995
0.966425147,13,0,3.219997716,112.6311516
2.731397496,28,7,2.043670855,66.01070323
1.848355605,39,16,0.126931778,50.26675966
2.518600388,39,2,0.780762987,116.3064648
2.74022825,40,19,3.579861144,39.57270418
1.295008687,22,14,3.29461971,59.06799476
0.775129811,43,14,0.135479963,89.83221184
1.069837906,36,13,1.10986081,75.16994994
1.567769472,28,13,1.155373983,51.21478673
2.545036915,27,1,3.359463718,106.8298859
2.651826458,36,12,0.098552689,57.68459871
0.517380326,41,13,0.52054291,84.16462493
1.776868256,16,18,3.999580427,27.6464022
1.543527508,17,6,0.89272331,79.51470001
1.055269526,27,2,3.263730539,123.4293129
0.799663418,29,14,1.190913905,61.52343079
1.344037929,39,13,0.497206964,71.48544656
2.85727426,45,10,1.215860955,78.65950004
1.30800733,34,14,3.611334659,71.06688101
1.796976554,21,12,4.278482341,62.13331248
2.257547397,24,17,4.151099323,27.87520787
1.409074006,29,5,1.985917648,105.8491519
2.929455207,26,2,3.340425683,94.93482453
2.906118237,17,18,1.024921477,-3.668662342
1.12945574,23,14,1.465738651,50.80509768
1.743121265,40,4,4.481679093,130.836796
1.252195775,16,9,0.065009618,64.02479264
1.212101236,45,6,0.427542654,122.9007546
0.592217368,23,16,1.039431276,51.77260494
2.023910835,16,6,0.132661019,59.31747665
1.756697558,13,11,0.907177175,42.48729697
0.628696878,11,16,2.915207805,42.06117908
1.196616161,32,12,2.107122753,78.82914869
2.770664715,18,19,4.463358555,-1.323482572
1.098904727,35,3,4.087217809,133.02925
0.86223718,23,9,1.709086758,83.56859226
1.723631901,20,2,1.297117167,94.24987541
2.964126135,9,8,1.898462041,27.94213811
1.105138179,39,12,2.951474713,89.19686211
2.180338869,16,17,1.340318204,6.611709545
2.404049038,29,14,3.120744539,46.73005289
1.09409386,25,3,2.047058261,104.2727436
2.320540872,40,14,2.760235904,66.29609995
1.419457832,27,1,2.180632646,117.5770053
2.080764576,20,14,1.472328798,38.18427893
2.083824277,43,7,4.742266535,111.0849413
1.83943671,49,7,3.818028971,122.235591
0.725724425,46,16,0.700565879,79.35065687
2.588256239,43,11,4.342339879,80.2623776
1.301950162,18,18,2.437155991,37.14361285
0.966296276,35,9,4.472761134,103.9445084
0.601937854,9,8,3.99927628,81.58636864
1.977232358,39,4,2.126067522,109.7515725
2.193910905,27,5,0.112346542,84.78903301
0.541469572,33,19,1.343386797,52.80247763
1.780232646,47,1,2.708171073,146.8001386
1.066239438,15,12,3.167391099,53.15355813
2.112931976,22,5,1.289438427,78.85772613
0.935916073,16,4,0.69678037,90.03515251
2.227344345,13,0,4.174651184,110.6239198
1.466838366,14,5,4.922010904,88.65044178
2.841824972,48,5,2.628450912,114.8824221
0.84380236,21,15,0.858396429,55.32627933
1.352665878,42,3,1.361536633,127.4130284
0.783683803,11,10,0.091953383,55.20890427
2.811734046,17,8,4.571494033,55.69254075
2.693348383,44,2,0.588755414,116.9353483
1.144854069,46,18,2.882582378,69.57987626
2.149960115,13,7,1.370276103,52.70204116
2.543055501,31,4,2.770890013,97.64388896
1.888002029,6,3,3.257101942,70.1381115
1.824126446,9,5,4.148709019,78.52864405
1.104630727,33,1,1.032106359,134.1434072
0.73275692,41,19,0.054979143,53.20626956
2.743039395,42,10,0.68442815,71.68277692
2.751045143,23,3,4.500093209,93.1121553
2.082753643,12,14,4.369450388,25.87431994
1.347574478,49,5,2.987065511,146.30748
1.373023937,5,16,3.002584302,17.7020225
2.314889197,26,5,3.325183373,91.21852792
2.74277565,21,18,0.876856393,6.396159833
2.717716061,11,1,4.57205973,81.55312191
2.449688865,29,14,2.093852624,48.48127481
2.105079115,49,10,1.915692641,98.24355802
0.710349912,8,7,2.594588526,78.87924425
0.904071785,40,18,0.234829834,56.15364709
2.746385471,10,12,0.831416844,22.8848596
2.016072649,35,11,3.690168082,80.33613264
0.522992629,23,4,0.41399334,118.8096257
0.753678857,48,5,3.015760547,142.8944907
2.158754423,43,3,1.226745548,121.8216673
0.51265396,31,18,1.94647807,49.49174358
0.902020129,14,19,1.443468684,14.15361294
1.871834473,30,0,1.778363582,125.3510064
2.229737994,23,19,3.595229526,22.48624085
2.129903149,43,16,1.485608578,71.83333026
1.060673274,7,11,2.832023201,47.60282597
2.280448053,49,14,2.380252011,71.76796819
1.093122719,17,0,3.318355827,122.8248555
1.313499245,32,13,4.684148697,71.71082131
2.366228513,24,5,3.662860486,89.31654071
2.124082248,32,4,1.074701893,96.85159338
2.623058526,12,10,0.155915675,30.17984398
2.144032231,45,3,1.311320221,129.7287077
1.920771508,43,12,2.975389654,84.06092919
0.73418692,5,10,0.257129067,51.92297883
1.419289508,7,2,2.481831236,91.02194384
1.163005919,17,0,2.984214245,107.6858963
1.109974108,32,5,1.671219454,106.856043
2.932526387,29,17,3.854561019,18.26675295
1.482744312,37,9,0.532991266,99.86649463
2.730116388,42,4,0.375688909,102.6483613
2.077846565,10,9,3.640943781,58.65927893
2.487028259,48,11,2.477456581,78.96218446
1.756592733,49,1,3.442011982,149.6133028
1.942259712,36,12,2.174136693,75.39100561
1.731294235,49,7,1.232010166,117.12299
0.988107469,25,1,4.095511588,132.6292222
2.306130288,20,19,3.997079395,6.130242693
1.201930906,25,0,3.473482354,136.7755009
0.560789916,15,4,1.360725686,102.0554088
2.11368074,41,8,2.951153334,100.6563764
0.942776699,40,16,1.804869485,67.84490657
2.851146461,39,8,0.457910367,78.72553482
2.884821443,23,10,4.586567877,53.5299321
2.787160976,24,14,0.684093155,17.99240878
1.425396751,22,5,4.751186769,100.6204948
0.538641541,45,2,2.230028865,155.3268115
2.820796406,18,16,0.925664644,12.77705538
1.570460371,19,4,2.709504737,81.89947644
2.916637048,35,11,4.364729179,68.02063097
2.909049943,5,17,3.661124432,-15.93021609
2.632523639,7,13,4.032805739,19.70667935
1.23612223,20,10,3.293916834,73.21131733
1.462744322,27,8,3.461382823,88.50875976
2.627841679,15,1,4.245978258,94.85677522
1.292305013,16,11,1.248340044,47.13161464
0.923731867,14,2,2.447124818,110.0239987
1.892003156,36,2,1.106047209,115.3977
2.840386935,20,0,4.93834004,94.42972284
2.240074492,12,7,4.720296698,62.19779287
1.925152925,42,7,0.197134057,89.23832068
0.742941234,16,10,3.527875863,74.71037853
2.037518067,28,8,4.626241587,84.01970155
2.975134625,32,4,0.902876726,92.2500454
0.850210038,12,13,2.839726153,52.01064894
1.795824131,32,2,4.577441488,117.8349808
2.69343268,40,4,0.169729893,95.91576203
2.351921544,30,4,3.487101336,102.7858029
2.242539352,12,18,1.486745037,3.057539873
2.25621021,32,13,4.621980977,69.13529436
1.398727878,32,3,4.855291226,132.6575019
1.233979611,41,12,4.721332446,96.70669013
2.523402889,45,9,2.371071083,93.57544803
2.525283487,40,17,4.310213255,56.54507998
2.667680796,31,7,4.222746993,82.63648672
2.783101381,21,7,1.595502366,61.43861731
1.778355997,13,6,4.144577371,73.62398826
1.753790737,37,7,0.185038174,91.9935129
2.495737947,24,13,2.981349392,42.74990456
2.124909827,17,18,1.150044186,3.638767898
2.254917193,32,5,0.602834429,90.33016553
2.489481674,33,0,0.384766008,108.1372986
2.725013355,17,14,3.481443879,24.11915938
1.344987892,39,0,1.699374819,145.6652575
1.438957382,10,16,3.623833858,21.34332317
0.73495485,22,0,0.326781704,123.0024811
1.945700352,9,14,1.576451689,19.74056275
0.589855684,29,1,2.697456462,140.0072086
1.663995045,6,13,3.953615824,30.23302259
1.856611587,14,7,1.593762515,68.36144545
1.21635313,34,7,3.129456882,96.63847938
1.977083151,49,18,4.429888741,81.82218319
0.576250625,9,6,3.079315941,79.73851963
0.593370472,37,18,1.164797374,62.11078516
2.556501402,5,5,0.122003908,39.82615115
1.400476604,22,5,4.35049437,103.2656749
0.817651282,36,2,0.106347054,133.4371177
1.80560815,15,6,4.373508363,75.28283515
2.424983883,25,18,2.64468567,24.4247355
1.039552569,30,7,4.695338493,107.6729225
2.05722619,29,9,3.993916179,82.35943538
0.713368662,26,19,4.989670553,43.68268269
