,Age_of_Account_years,Number_of_Transactions_last_month,Average_Transaction_Value,Credit_Score,Account_Balance,Risk_Class
159,8,64,6393.1,378,18565.61,2
160,22,27,7592.77,472,1468.27,1
161,27,63,7243.79,311,19709.41,2
162,3,17,6375.94,427,26338.05,1
163,1,73,9805.96,391,25632.9,2
164,3,33,9034.6,842,8364.85,0
165,5,84,6470.18,831,32322.45,0
166,15,77,6934.82,746,2334.44,2
167,14,92,525.44,689,38119.15,2
168,3,29,6702.48,342,47337.56,0
169,1,13,451.21,553,17054.46,1
170,5,46,5886.75,429,25910.25,1
171,26,35,9993.54,359,19007.62,2
172,23,6,5562.51,766,434.85,0
173,14,82,4737.37,586,19355.14,2
174,7,69,3135.42,816,39606.84,0
175,27,47,1214.02,766,29839.84,0
176,9,25,7312.93,644,5152.87,2
177,15,66,1934.06,681,42372.26,2
178,15,10,1161.67,552,26601.16,1
179,26,56,4223.41,355,42102.0,1
180,10,30,7955.46,762,29053.05,0
181,28,5,7453.19,756,28028.45,0
182,13,33,558.28,382,5352.43,1
183,19,65,4556.89,398,8451.25,2
184,7,18,5229.12,448,48604.06,2
185,17,96,6449.02,628,11501.49,2
186,20,49,6505.17,455,48874.86,1
187,29,11,3653.33,489,26642.44,2
188,4,85,5611.17,793,6875.87,2
189,5,26,4815.81,562,5055.18,2
190,23,63,8851.13,379,10522.32,2
191,7,89,5307.35,699,46289.3,1
192,13,86,4415.91,559,20766.1,2
193,15,59,4050.81,400,19832.17,2
194,11,27,5728.55,658,15728.99,2
195,29,49,8041.73,679,7438.39,1
196,4,77,5388.63,520,24443.77,2
197,13,33,6619.94,719,6589.38,0
198,7,98,7381.18,423,41790.46,1
199,27,99,5206.48,721,18582.81,2
200,19,1,4273.9,530,18802.7,1
201,22,21,8767.89,362,23752.92,1
202,28,55,4180.89,784,22261.97,2
203,2,6,4624.81,782,49743.41,0
204,10,92,9903.51,818,27314.52,0
205,13,81,12.37,454,4501.27,2
206,25,69,1862.87,391,30383.18,2
207,21,95,3845.8,825,7664.06,2
208,6,5,9326.57,754,1643.79,0
209,28,3,709.6,809,48540.03,0
210,28,53,104.76,482,38699.59,2
211,12,23,536.31,685,49007.44,0
212,12,53,894.55,704,23946.13,2
213,20,37,385.59,545,26659.65,1
214,11,74,4803.02,770,8500.01,2
215,26,74,5811.76,722,12420.68,2
216,23,83,2724.15,364,41943.61,1
217,28,17,3988.89,312,17873.66,2
218,25,85,926.08,512,41358.07,2
219,7,78,3370.34,541,35479.78,2
220,1,73,5229.97,792,8940.83,2
221,1,1,7325.4,512,25421.57,2
222,25,51,43.43,637,33901.63,1
223,27,45,4678.43,472,11828.36,2
224,25,77,2977.06,463,41551.36,1
225,20,4,8529.69,764,27286.9,0
226,13,62,7158.38,796,8345.58,2
227,9,65,5895.19,694,29190.92,1
228,3,32,2779.88,607,49985.72,0
229,7,34,9104.29,482,7611.02,2
230,6,92,460.56,809,40856.17,0
231,8,95,1103.58,845,10444.72,2
232,27,72,3922.39,526,39141.18,2
233,9,39,1253.13,735,36755.44,0
234,5,26,9564.59,721,15094.42,0
235,1,34,7981.91,320,16358.57,1
236,19,54,2597.24,696,39646.82,1
237,10,3,5889.66,404,23126.13,1
238,12,50,9823.48,491,36567.82,0
239,24,12,8843.15,316,7484.41,0
240,15,65,6011.98,419,42642.63,0
241,27,54,9038.2,692,35573.15,2
242,22,5,9891.96,724,45356.45,0
243,24,94,7436.09,428,6705.38,2
244,9,94,659.21,429,29691.42,2
245,20,57,4021.79,328,29996.12,0
246,17,17,8379.88,396,17737.69,1
247,17,47,2313.39,309,22977.47,2
248,26,23,8308.12,541,1995.28,2
249,20,79,1212.18,531,37318.42,2
250,12,85,478.98,583,27511.19,2
251,7,14,3847.07,499,2981.28,2
252,2,66,376.95,378,34069.72,1
253,3,75,9573.13,472,23392.43,2
254,17,51,8263.79,766,1819.62,2
255,5,38,8009.69,715,48483.43,0
256,17,64,6301.48,748,47460.7,0
257,24,98,2171.08,386,25693.83,1
258,17,38,5187.42,400,4774.25,0
259,27,50,5976.77,307,37755.6,2
260,17,98,5255.06,499,24647.36,2
261,2,82,2609.73,804,15192.13,2
262,2,30,5157.33,386,24621.77,2
263,28,79,4916.95,342,26169.96,0
264,22,91,9963.39,684,28179.31,2
265,23,51,8975.39,734,22117.06,2
266,5,63,4639.17,707,30327.19,0
267,1,98,6233.14,782,45944.86,0
268,1,52,7481.24,316,18177.18,2
269,19,38,358.3,447,36313.25,0
270,2,97,8950.27,576,44733.18,1
271,21,88,8602.67,531,22853.37,2
272,12,79,4579.75,665,22228.45,2
273,26,30,3917.79,527,30145.64,2
274,6,51,2736.86,735,29611.2,0
275,23,81,4772.0,698,40348.81,1
276,4,5,453.32,510,23876.52,2
277,23,29,8523.41,690,49806.54,2
278,11,4,363.87,798,3067.63,0
279,24,10,3297.22,839,258.08,0
280,27,56,9316.58,790,32045.9,0
281,17,17,7354.77,741,14991.9,0
282,6,74,2821.1,560,12095.08,2
283,24,17,2533.96,649,15663.76,1
284,5,84,60.77,651,12876.77,2
285,20,88,6960.19,819,1636.42,2
286,2,69,497.35,619,48579.5,1
287,6,34,5330.7,437,11115.2,1
288,22,6,9621.6,849,36728.09,0
289,11,53,1103.59,667,38153.56,2
290,16,66,8945.85,519,46469.94,2
291,16,77,9914.84,636,1624.42,2
292,1,43,624.56,522,43615.21,2
293,9,75,8830.23,659,26408.59,0
294,28,23,5165.63,628,31663.95,1
295,27,55,9066.07,762,32259.07,0
296,6,80,5717.48,681,41007.91,1
297,16,95,6624.5,468,16737.03,2
298,29,75,5442.35,516,36679.25,2
299,3,16,8646.28,677,26476.05,0
300,20,8,7341.76,418,39690.36,1
301,28,4,5217.39,489,49528.25,1
302,27,4,8682.93,669,10112.49,0
303,4,56,2460.4,448,49732.97,0
304,19,25,1581.83,787,4581.63,0
305,26,67,1612.4,673,215.65,2
306,3,96,3346.75,459,2303.68,2
307,19,67,2394.51,650,17154.94,2
308,20,27,9301.6,587,31682.03,1
309,7,93,1067.28,587,3544.57,2
310,20,32,6992.92,525,382.72,1
311,9,50,1900.32,822,46860.84,0
312,1,61,8817.55,821,41114.14,0
313,8,51,9613.54,572,40478.24,2
314,7,19,4660.05,701,44232.77,0
315,18,21,8791.92,482,35031.71,1
316,8,5,61.4,787,5309.77,0
317,1,82,8201.27,423,20015.1,2
318,11,92,2293.97,713,36185.16,0
319,28,42,9087.93,471,14088.69,1
320,25,61,21.19,587,34401.58,1
321,25,22,5566.26,734,1322.47,0
322,18,21,7568.79,412,15376.25,0
323,23,70,2594.3,421,27501.6,2
324,10,1,1939.4,843,31641.28,0
325,3,5,850.14,521,28894.33,1
326,7,12,3271.07,338,34918.04,2
327,28,90,5602.84,796,403.83,2
328,16,46,1167.28,532,5136.97,2
329,26,34,3773.19,829,43460.32,0
330,16,49,100.63,448,34119.26,0
331,25,78,8188.61,696,5735.29,2
332,20,90,1293.2,601,42119.51,1
333,28,45,2840.6,659,12187.34,2
334,17,27,194.09,537,23965.17,2
335,2,73,4328.09,535,7345.31,2
336,1,26,8402.81,502,35534.49,1
337,16,47,3927.59,555,33376.04,2
338,12,86,1803.18,534,10634.51,2
339,5,56,7539.45,644,43183.7,1
340,5,94,7890.18,833,20125.17,2
341,27,63,1745.8,765,14696.5,2
342,23,48,7710.83,840,7701.25,0
343,9,61,9473.51,512,13381.78,2
344,9,81,1672.11,762,1199.14,2
345,3,26,7712.13,735,29204.55,0
346,19,36,7088.63,582,42127.31,2
347,16,1,4741.0,762,27494.12,0
348,16,8,588.63,706,11041.77,0
349,3,99,756.2,387,1780.09,2
350,20,52,8525.62,343,10809.94,2
351,24,79,9901.58,760,20864.46,2
352,22,47,6763.76,577,38004.61,1
353,24,56,4465.12,720,9473.36,2
354,1,86,6479.26,652,36017.59,2
355,24,14,5948.01,814,43359.98,0
356,20,90,3842.29,318,22751.95,2
357,11,28,665.61,322,41089.46,0
358,17,87,8216.91,712,27777.4,0
359,8,78,3724.62,329,31890.83,1
360,4,88,8189.67,407,26361.3,0
361,6,2,2532.56,666,23212.32,0
362,8,26,20.28,580,11809.21,0
363,20,14,1597.79,427,15229.38,0
364,3,59,4690.71,528,14569.51,2
365,16,56,9443.59,410,28208.12,0
366,25,7,1030.91,435,6085.69,2
367,3,3,8543.56,661,45847.91,2
368,25,23,5274.97,485,36060.69,1
369,29,18,8260.95,428,20132.14,2
370,18,38,2990.76,560,8015.34,1
371,14,99,8401.07,814,44111.41,0
372,18,15,7730.5,748,41206.53,0
373,2,64,2308.24,403,36113.91,0
374,22,89,1322.04,782,13650.2,2
375,3,28,8681.86,523,20182.09,0
376,16,74,9632.73,790,5227.14,2
377,29,39,322.71,772,9533.07,0
378,9,57,7315.39,309,39172.53,2
379,4,17,9096.15,704,35780.43,0
380,1,86,8575.03,601,29714.94,2
381,4,90,9645.56,530,44796.76,1
382,1,44,7603.34,365,29205.0,1
383,14,25,4428.56,411,23401.7,0
384,21,17,3126.4,312,17084.5,1
385,16,13,3214.22,692,47028.38,2
386,20,84,7246.98,799,4227.5,2
387,24,25,7460.91,533,46551.28,2
388,8,68,2011.59,613,41353.06,2
389,7,10,8682.55,311,6583.5,1
390,3,67,7152.09,508,28292.72,1
391,17,18,5631.88,313,43340.74,0
392,1,86,4720.61,717,28633.28,0
393,16,34,5436.9,736,45369.27,0
394,12,8,1600.86,676,47154.89,1
395,27,40,2044.98,319,21176.99,1
396,19,83,920.73,369,18927.95,2
397,22,42,1545.04,510,46822.43,1
398,23,41,4542.4,400,33789.49,1
399,22,6,5308.24,431,5889.53,1
400,14,52,188.44,680,2210.36,2
401,6,26,7970.01,431,28274.99,0
402,6,64,2948.74,319,46515.53,0
403,13,98,9119.24,835,42228.01,0
404,19,59,9675.44,526,33824.8,1
405,22,56,1862.73,453,7041.88,2
406,8,59,4626.35,768,12786.15,2
407,27,70,22.31,704,43788.01,0
408,27,33,5987.29,501,9222.08,0
409,2,53,6076.99,337,13994.13,2
410,21,22,2482.92,487,6567.07,1
411,1,21,5588.54,356,33837.8,1
412,28,70,2263.15,319,47204.72,2
413,15,70,1616.65,572,13521.5,2
414,1,4,6518.68,418,23822.79,1
415,5,94,3266.0,815,31753.55,0
416,28,75,5906.74,520,49973.37,1
417,29,62,4338.14,825,5329.92,2
418,16,62,9843.67,814,24978.68,2
419,19,94,1504.31,635,19317.49,2
420,4,95,4651.34,354,43304.43,1
421,3,24,6807.76,799,23850.79,0
422,17,55,3961.5,835,5637.78,2
423,17,9,9747.25,461,31757.76,2
424,12,3,7221.66,458,38561.95,2
425,28,31,6573.27,487,243.77,2
426,29,40,7573.02,359,42961.94,2
427,14,36,9526.96,618,9382.55,1
428,21,24,9079.11,510,27648.26,1
429,6,95,7245.61,705,20848.3,2
430,3,6,7494.12,408,36010.73,1
431,28,66,1467.76,375,18620.96,2
432,9,84,1036.9,841,43501.18,0
433,5,92,5713.34,613,36551.77,1
434,24,75,193.49,416,32420.89,1
435,29,4,4828.74,318,39832.41,1
436,17,79,2111.39,731,37725.75,0
437,14,6,3466.71,649,1893.34,2
438,21,94,7760.29,482,19797.24,2
439,3,51,9412.96,412,46547.28,1
440,28,62,733.44,482,6373.64,2
441,1,57,5347.08,780,36881.12,0
442,20,66,8826.51,445,48732.13,0
443,29,79,834.26,412,2704.71,2
444,21,75,8246.9,775,34141.47,0
445,23,8,3584.44,602,23460.89,0
446,1,26,3227.73,417,29000.85,2
447,3,51,9774.89,460,4358.53,2
448,18,45,2016.58,700,2246.05,1
449,25,44,6935.01,497,33376.65,2
450,10,5,8216.19,559,41183.14,2
451,22,70,421.42,346,39122.57,2
452,26,26,6707.15,698,27235.91,2
453,3,68,9515.98,377,5083.35,2
454,8,19,1250.96,423,34433.42,0
455,14,84,8963.25,374,12170.26,2
456,24,97,5951.82,436,45562.33,0
457,18,20,6169.88,699,41929.44,1
458,15,12,6133.31,804,35498.21,0
459,22,47,2995.37,799,47447.41,0
460,23,1,9352.67,437,1667.95,1
461,2,90,9474.03,349,36836.4,2
462,27,14,6256.79,553,16579.11,2
463,10,64,7836.39,725,45312.69,0
464,2,38,6126.46,846,13407.09,0
465,26,37,4849.14,601,36270.34,1
466,17,11,6611.59,648,43894.59,2
467,8,77,5534.48,348,2178.68,2
468,1,3,5978.78,373,19942.61,1
469,9,33,7840.49,560,38139.22,0
470,11,6,4814.23,655,22800.45,2
471,22,50,417.13,559,13435.91,2
472,16,10,1648.35,594,11068.29,2
473,7,5,4391.69,612,6662.76,2
474,29,23,7251.02,481,42870.77,2
475,10,10,5936.85,663,28810.23,2
476,23,44,6506.44,487,3911.61,2
477,26,2,4798.0,842,19190.76,0
478,3,13,6161.26,847,18449.91,0
479,18,40,3296.88,707,9168.79,0
480,25,2,4707.12,713,21831.83,0
481,24,84,7445.35,641,16671.76,2
482,13,65,8719.61,519,17156.0,2
483,28,63,4342.22,462,36977.43,1
484,26,73,446.18,519,11240.84,2
485,7,17,1625.11,569,32128.81,2
486,25,9,218.4,699,28575.42,2
487,4,75,6536.1,481,28447.82,1
488,13,15,3329.82,504,33184.07,0
489,20,24,5429.36,527,27464.26,0
490,1,38,4937.84,549,43974.83,1
491,8,35,824.45,740,33811.45,0
492,14,94,4038.58,832,27393.47,0
493,16,95,2213.41,495,41505.18,2
494,14,49,4189.81,818,30346.71,0
495,12,69,2043.75,369,14628.1,2
496,19,62,8406.12,698,10434.04,2
497,23,60,1750.19,502,7701.16,2
498,15,50,9608.2,447,44982.82,0
499,28,78,4164.91,771,35535.76,0
500,2,75,8463.99,498,46875.18,1
501,2,9,6291.36,725,30204.26,0
502,23,34,7356.15,791,23722.7,0
503,22,76,7679.56,441,3079.85,2
504,19,99,5053.4,612,33614.95,1
505,25,35,5437.57,464,29152.22,2
506,26,1,5144.82,613,49511.42,1
507,29,40,5884.7,320,12034.02,0
508,22,64,303.65,381,26583.79,1
509,26,22,3961.2,430,32582.77,1
510,26,60,6065.83,604,32265.1,2
511,22,64,5981.26,670,28108.55,1
512,17,93,7931.63,683,38868.71,1
513,20,72,6553.54,744,10328.56,2
514,10,11,9921.41,724,36308.8,0
515,6,14,2845.71,460,31024.76,1
516,15,60,3597.92,477,44814.15,1
517,22,30,3844.63,789,42375.0,0
518,11,35,4663.47,626,15825.84,2
519,28,85,8361.62,588,13884.24,2
520,5,37,2365.56,653,49084.5,2
521,1,5,7762.24,327,26410.53,1
522,8,83,4059.05,342,45330.41,2
523,21,78,6022.54,722,8277.66,2
524,28,26,6329.08,476,32176.66,1
525,12,62,3734.76,828,40512.02,0
526,12,4,5131.03,793,47375.02,0
527,5,89,4136.18,497,16933.27,2
528,7,42,700.64,816,36276.56,0
529,4,89,4377.28,813,26986.77,0
530,6,18,982.96,321,3125.38,1
531,13,40,4056.16,411,34530.99,2
532,20,72,5933.25,356,34535.82,0
533,15,39,5798.35,365,46537.28,1
534,3,14,6629.59,397,24915.89,2
535,23,32,961.66,443,11589.52,2
536,8,51,6524.71,734,2323.73,2
537,20,38,3128.36,385,20840.55,0
538,16,97,3996.47,643,15165.64,2
539,13,23,8581.28,593,38078.31,1
540,18,63,100.21,542,17777.96,2
541,28,15,5888.24,331,47458.65,2
542,10,97,5991.15,690,48119.28,0
543,19,25,3972.63,576,31083.34,1
544,17,17,2377.91,831,46440.15,0
545,24,97,2354.39,453,38066.63,0
546,19,66,8838.26,682,27388.3,1
547,28,78,4425.82,367,9097.37,2
548,26,53,3315.58,513,22984.04,2
549,23,51,4493.29,675,28087.64,2
550,26,39,6697.21,512,43211.68,1
551,5,51,1466.11,378,24118.54,2
552,26,70,4499.84,680,44893.97,2
553,21,6,5882.96,357,33750.01,1
554,23,67,9486.35,325,6936.25,2
555,9,7,2532.75,746,49749.57,0
556,12,51,3598.91,365,26408.91,0
557,21,72,3799.79,553,19653.73,2
558,1,42,6059.33,343,32989.78,0
559,26,64,3573.75,396,5533.78,2
560,26,15,5339.78,526,31863.28,2
561,1,29,7820.09,735,24961.98,0
562,15,33,7056.8,678,20393.04,0
563,2,94,4469.22,477,47655.7,2
564,22,27,8643.52,726,26174.73,0
565,16,36,5585.82,606,11033.96,0
566,25,29,5403.66,803,23002.28,0
567,8,38,351.54,567,45977.43,1
568,13,57,9867.06,307,8887.16,2
569,21,97,1238.48,807,10776.46,2
570,1,27,2319.0,775,750.18,0
571,16,55,526.45,596,808.08,2
572,29,33,6403.63,463,41486.64,2
573,7,68,2254.76,784,36632.92,0
574,5,86,1808.3,371,17816.55,2
575,22,66,894.67,537,34945.73,0
576,29,10,1042.06,403,19820.78,0
577,23,5,5850.86,509,47649.55,1
578,3,74,6885.2,767,48355.93,0
579,12,97,3979.82,753,19700.41,2
580,26,38,4804.17,567,42725.67,2
581,16,13,6862.82,685,38677.14,2
582,19,31,183.62,686,15569.0,0
583,5,47,3238.08,558,11678.79,1
584,22,88,9731.25,582,22965.91,2
585,25,52,5805.32,339,39089.31,1
586,29,56,2549.7,785,48012.37,0
587,14,15,5222.08,519,38202.6,2
588,28,29,3433.11,428,42774.83,1
589,5,8,5327.13,819,30192.91,0
590,15,5,1266.16,559,41786.85,2
591,17,29,1335.82,665,39242.6,1
592,14,47,1443.99,843,18911.58,0
593,20,68,9398.8,823,27644.32,0
594,5,76,7331.66,315,40257.18,0
595,12,45,1632.2,428,2398.23,2
596,16,2,1891.61,408,40423.16,0
597,26,27,7310.99,832,8976.62,0
598,26,95,1570.08,568,25782.71,1
599,16,36,2353.27,461,40432.94,2
600,21,36,9633.83,559,12765.67,0
601,7,26,2560.51,401,12365.79,0
602,4,43,6619.71,805,20197.94,0
603,1,27,9786.53,546,44742.68,0
604,5,69,3749.22,836,122.09,2
605,23,20,184.98,430,45079.02,1
606,26,11,2449.03,652,7774.97,0
607,10,74,8310.46,495,49505.31,0
608,22,38,8647.44,681,47746.86,2
609,5,6,7687.51,526,24784.29,1
610,4,72,1139.97,775,25684.74,0
611,2,23,7957.15,776,24129.31,0
612,20,47,9187.59,564,31808.64,2
613,10,90,6010.09,671,4627.01,2
614,26,46,9409.34,785,1727.64,0
615,19,12,8270.12,733,2979.38,0
616,26,90,6673.05,510,22273.83,2
617,1,13,5776.08,676,13849.84,2
618,24,62,3492.25,694,31139.77,0
619,5,82,1601.28,749,49622.87,0
620,13,89,6053.49,663,19377.53,2
621,4,97,3187.93,756,28734.68,0
622,16,60,8665.72,525,20838.63,2
623,24,43,9933.44,430,42378.86,0
624,16,76,7526.75,775,45121.6,0
625,23,68,913.91,576,43880.05,2
626,2,5,2893.97,455,48721.17,1
627,17,37,1100.01,517,1473.21,1
628,28,72,6508.61,489,42006.83,0
629,27,92,7654.26,716,37613.43,0
630,20,31,9257.49,845,11511.85,0
631,24,9,4387.34,340,47820.37,1
632,12,51,9014.74,606,7494.08,2
633,18,29,8780.13,637,34009.54,1
634,3,78,3178.79,613,11322.02,2
635,28,40,8690.32,374,21625.89,0
636,1,41,3762.97,578,35986.08,1
637,1,86,2975.72,475,28209.9,0
638,29,11,6494.26,572,21432.34,1
639,19,23,3290.53,588,16384.29,1
640,11,1,6305.79,571,41999.02,2
641,5,46,6102.22,365,7276.34,1
642,12,21,5638.75,782,21562.13,0
643,3,90,3810.39,547,45197.5,0
644,1,36,5489.51,455,42307.89,0
645,1,54,5968.89,346,20106.99,2
646,8,87,5461.41,753,38179.11,0
647,10,57,4449.75,500,41175.73,2
648,11,1,156.52,423,44455.48,0
649,12,63,5874.75,300,27270.84,1
650,29,54,1692.76,490,10302.6,2
651,13,55,6429.33,815,12839.92,2
652,12,40,7595.85,741,14855.16,0
653,14,15,5009.45,442,29730.74,1
654,2,21,5428.21,490,1737.2,1
655,29,47,9515.27,832,31838.52,0
656,19,73,8473.2,526,18281.28,2
657,18,53,9143.22,612,14832.57,2
658,3,9,8139.53,601,43986.88,1
659,23,74,1098.09,759,23054.12,2
660,17,52,1498.43,700,4843.15,2
661,26,57,5270.97,692,41354.66,2
662,8,26,2468.24,506,2477.3,2
663,29,41,4772.19,509,36364.79,2
664,26,35,3949.71,414,38717.92,1
665,10,63,5498.65,550,17694.87,2
666,26,25,7471.29,518,41256.91,1
667,2,90,7157.75,706,25831.4,0
668,19,75,5217.13,742,23218.35,2
669,9,38,8225.71,653,2365.62,2
670,7,2,4314.31,849,14572.46,0
671,4,7,8968.18,441,46557.4,2
672,26,82,722.09,800,19652.02,2
673,21,91,9547.05,846,27380.36,0
674,18,34,6550.38,841,26647.88,0
675,13,91,3806.94,806,29562.51,0
676,11,17,1979.57,580,3160.41,2
677,29,43,4797.04,723,18172.6,0
678,24,59,1953.64,569,36184.1,1
679,4,51,1671.65,453,10107.96,2
680,25,54,6177.34,382,10258.56,2
681,21,24,5235.62,725,603.52,0
682,29,25,6704.26,574,21930.35,1
683,25,71,9296.76,583,44148.45,1
684,4,52,5327.28,472,2689.86,2
685,10,70,5813.51,626,9636.82,2
686,5,88,905.37,362,15573.22,2
687,9,33,7179.18,372,36613.06,2
688,24,49,4005.05,674,32067.72,1
689,3,29,9767.49,807,20855.6,0
690,17,63,8233.51,697,37977.54,1
691,3,22,5229.59,419,30520.59,1
692,16,26,1240.99,736,44812.44,0
693,4,28,8595.56,764,40919.53,0
694,18,85,7999.81,585,12715.4,2
695,17,49,1854.01,564,13644.79,1
696,7,71,2959.83,619,6355.29,2
697,24,81,7936.14,675,16914.54,2
